,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
159,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,9,9
160,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,10,85
161,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,11,47
162,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,12,60
163,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,13,-26
164,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,14,-8
165,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,15,-36
166,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,16,70
167,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,17,-54
168,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,18,-5
169,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,19,3
170,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,20,-55
171,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,21,-1
172,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,22,6
173,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,23,33
174,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,24,-109
175,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,25,28
176,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,26,-71
177,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,27,-12
178,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,28,76
179,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,29,-82
180,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,30,106
181,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,31,33
182,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,32,-47
183,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,33,-31
184,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,34,-56
185,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,35,-18
186,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,36,-50
187,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,37,-22
188,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,38,37
189,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,39,67
190,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,40,122
191,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,41,-58
192,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,42,34
193,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,43,-10
194,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,44,60
195,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,45,109
196,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,46,72
197,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,47,-61
